,open,high,low,close,adjclose,volume,ticker,adjclose_15,true_adjclose_15,buy_profit,sell_profit
1997-08-01,2.34375,2.4166669845581055,2.25,2.4166669845581055,2.4166669845581055,3588000,AMZN,24.94218,22.170000076293945,22.525513648986816,0.0
1997-08-05,2.3333330154418945,2.3333330154418945,2.1458330154418945,2.2083330154418945,2.2083330154418945,3032400,AMZN,54.349358,39.11000061035156,52.141024589538574,0.0
1997-08-13,2.2291669845581055,2.2291669845581055,2.1666669845581055,2.1979169845581055,2.1979169845581055,590400,AMZN,43.321762,48.459999084472656,41.12384510040283,0.0
1997-08-14,2.1770830154418945,2.25,2.1197919845581055,2.15625,2.15625,1041600,AMZN,89.36591,84.19000244140625,87.20966339111328,0.0
1997-08-18,2.0520830154418945,2.0520830154418945,1.96875,2.0416669845581055,2.0416669845581055,1784400,AMZN,45.98347,24.3125,43.94180393218994,0.0
1997-09-02,2.34375,2.375,2.3333330154418945,2.3541669845581055,2.3541669845581055,732000,AMZN,569.35767,490.4800109863281,567.0034990310669,0.0
1997-09-05,2.5833330154418945,2.6666669845581055,2.4583330154418945,2.5,2.5,1908000,AMZN,25.043018,22.040000915527344,22.543018341064453,0.0
1997-10-01,4.4375,4.5,3.9375,4.0208330154418945,4.0208330154418945,4999200,AMZN,17.528048,14.250000000000002,13.507214546203613,0.0
1997-10-22,4.4166669845581055,4.6197919845581055,4.375,4.5208330154418945,4.5208330154418945,5208000,AMZN,45.271427,61.33000183105469,40.75059413909912,0.0
1997-10-30,5.2083330154418945,5.3541669845581055,5.0416669845581055,5.125,5.125,4770000,AMZN,47.40201,47.97999954223633,42.27701187133789,0.0
1997-11-07,4.4166669845581055,4.640625,4.3854169845581055,4.4791669845581055,4.4791669845581055,2626800,AMZN,23.79183,21.81999969482422,19.312663078308105,0.0
1997-11-12,3.7760419845581055,4.1875,3.6666669845581055,3.7708330154418945,3.7708330154418945,8683200,AMZN,14.432321,7.460000038146973,10.661487579345703,0.0
1997-11-19,4.40625,4.5208330154418945,4.3125,4.5104169845581055,4.5104169845581055,2534400,AMZN,437.4783,423.6700134277344,432.967885017395,0.0
1997-11-25,4.2395830154418945,4.3333330154418945,4.0416669845581055,4.203125,4.203125,3304800,AMZN,7.5618806,4.2708330154418945,3.358755588531494,0.0
1997-11-26,4.2395830154418945,4.4114580154418945,4.2395830154418945,4.2604169845581055,4.2604169845581055,1630800,AMZN,77.86017,79.46875,73.59975147247314,0.0
1997-11-28,4.2708330154418945,4.3333330154418945,4.1145830154418945,4.125,4.125,1603200,AMZN,73.541794,80.0999984741211,69.41679382324219,0.0
